Model,ticker,evtdate,cret,car,bhar,nrets
Fama-French Plus Momentum,PSSI,08MAY1998,-0.415730335,-0.493939782,-0.417655877,15
Fama-French Plus Momentum,MCK,27APR1999,-0.429126213,-0.761612265,-0.87799116,15
Fama-French Plus Momentum,UHAL,26SEP2002,-0.183453239,-0.289105489,-0.275246807,15
Fama-French Plus Momentum,VECO,10FEB2005,-0.140651803,-0.052630463,-0.052549768,15
Fama-French Plus Momentum,SWC,01APR2002,-0.082295543,-0.193580372,-0.213024398,15
Fama-French Plus Momentum,RCII,08OCT2001,-0.074646588,-0.074585638,-0.10190212,15
Fama-French Plus Momentum,BRKS,22MAY2006,-0.151123169,-0.136493368,-0.124647595,15
Fama-French Plus Momentum,HLIT,26JUN2000,-0.413290119,-0.40870306,-0.433057867,15
Fama-French Plus Momentum,ADEX,13JUN2006,0.0015484433,0.1211588624,0.1199166495,15
Fama-French Plus Momentum,ESST,12SEP2002,-0.43347279,-0.263468573,-0.224056902,15
Fama-French Plus Momentum,NWPX,11NOV2009,-0.132225894,-0.177041836,-0.180358246,15
Fama-French Plus Momentum,HIG,13OCT2004,-0.127615771,-0.120926115,-0.115774928,15
Fama-French Plus Momentum,STKR,09NOV2004,-0.056000039,-0.137071804,-0.155259872,15
Fama-French Plus Momentum,ARTC,23JAN2008,-0.203486033,0.0662288155,0.0469299463,15
Fama-French Plus Momentum,PRGX,29MAR2000,-0.316037726,0.3401518758,0.1831756812,15
Fama-French Plus Momentum,KVHI,02JUL2004,-0.377622406,-0.474596248,-0.402680331,15
Fama-French Plus Momentum,NDN,03FEB2004,-0.009269562,-0.250735625,-0.280440915,15
Fama-French Plus Momentum,JAKK,19OCT2004,-0.340899539,-0.361611437,-0.381198603,15
Fama-French Plus Momentum,SRZ,15JUN2006,-0.16292473,-0.051886957,-0.047982142,15
Fama-French Plus Momentum,ZOMX,21SEP2000,-0.671617153,-0.454744318,-0.314624283,15
Fama-French Plus Momentum,ADRX,04MAR2003,-0.267366753,0.0081778321,-0.04520801,15
Fama-French Plus Momentum,RNR,25JUL2005,-0.02839457,-0.017989452,-0.022699662,15
Fama-French Plus Momentum,HEB,30OCT2009,-0.33701653,-0.437871383,-0.371909758,15
Fama-French Plus Momentum,ANF,13OCT1999,-0.347663549,-0.44522588,-0.405088275,15
Fama-French Plus Momentum,ANF,16AUG2005,-0.10433186,-0.131018696,-0.127752809,15
Fama-French Plus Momentum,CRN,05MAR2002,-0.200639509,-0.469112106,-0.4742892,15
Fama-French Plus Momentum,CERS,03SEP2003,-0.279785767,-0.308917765,-0.321459142,15
Fama-French Plus Momentum,CTIC,08FEB2010,-0.345794448,-0.277784256,-0.32292177,15
Fama-French Plus Momentum,CBI,03FEB2006,-0.187322914,0.0308930186,-0.002662985,15
Fama-French Plus Momentum,MEAD,29AUG2006,-0.026666642,-0.155809975,-0.162640266,15
Fama-French Plus Momentum,AMZN,30OCT2000,0.3482587209,0.097748065,0.0837228981,15
Fama-French Plus Momentum,RMBS,27JUN2006,0.0332247828,0.0046733728,0.025119399,15
Fama-French Plus Momentum,SRT,05MAY2005,-0.171556817,-0.17967425,-0.183170621,15
Fama-French Plus Momentum,FARO,03NOV2005,-0.026342474,0.1578702067,0.1110872359,15
Fama-French Plus Momentum,PLCE,23AUG2007,-0.085254214,0.1051680945,0.0787882988,15
Fama-French Plus Momentum,PSMT,07NOV2003,-0.100250317,-0.204574985,-0.221289909,15
Fama-French Plus Momentum,AMCC,05FEB2001,-0.45911047,-0.522977729,-0.397246399,15
Fama-French Plus Momentum,URI,30AUG2004,-0.240321756,-0.321943082,-0.32190435,15
Fama-French Plus Momentum,CVTX,01AUG2003,-0.309123105,-0.254439127,-0.231936325,15
Fama-French Plus Momentum,CECO,01NOV2011,-0.517504781,-0.506650808,-0.463232692,15
Fama-French Plus Momentum,CECO,02DEC2003,-0.183528937,-0.152469529,-0.189724586,15
Fama-French Plus Momentum,RAS,31JUL2007,-0.573383676,-0.065447399,-0.207019673,15
Fama-French Plus Momentum,BXS,25FEB2010,-0.10766426,-0.100547763,-0.106368385,15
Fama-French Plus Momentum,GNSS,14JUN2002,-0.458831374,-0.695334109,-0.588055069,15
Fama-French Plus Momentum,MUSE,29DEC2003,0.1465149589,0.1036619158,0.1039449054,15
Fama-French Plus Momentum,PMACA,04NOV2003,-0.613333323,-0.762259031,-0.787105414,15
Fama-French Plus Momentum,CAO,24MAR2006,-0.152053932,-0.141839122,-0.133572811,15
Fama-French Plus Momentum,ADPI,13DEC2007,-0.710379735,-0.655147161,-0.660099386,15
