,tic,Class_end,settledate,year,Month,gap,sic,lgap,settleamt,CIK,filedate,Form,diff
157,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-07-29,8-K,-49 days +00:00:00.000000000
158,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-05-06,8-K,35 days 00:00:00.000000000
159,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-05-05,8-K,36 days 00:00:00.000000000
160,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-04-18,8-K,53 days 00:00:00.000000000
161,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-04-14,8-K,57 days 00:00:00.000000000
162,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-04-07,8-K,64 days 00:00:00.000000000
163,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-03-23,8-K,79 days 00:00:00.000000000
164,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-03-09,8-K,93 days 00:00:00.000000000
165,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-03-09,10-K,93 days 00:00:00.000000000
166,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-03-08,8-K,94 days 00:00:00.000000000
167,ADRX,4/3/2003,2005-06-10,2005,6,829,2834,6.7202201,0,1123337.0,2005-01-06,8-K,155 days 00:00:00.000000000
168,ADUS,26/03/2010,2011-03-21,2011,3,360,9999,5.8861041,3000000,1468328.0,2011-11-23,8-K,-247 days +00:00:00.000000000
169,ADUS,26/03/2010,2011-03-21,2011,3,360,9999,5.8861041,3000000,1468328.0,2011-11-03,8-K,-227 days +00:00:00.000000000
170,ADUS,26/03/2010,2011-03-21,2011,3,360,9999,5.8861041,3000000,1468328.0,2011-09-27,8-K,-190 days +00:00:00.000000000
171,ADUS,26/03/2010,2011-03-21,2011,3,360,9999,5.8861041,3000000,1468328.0,2011-08-04,8-K,-136 days +00:00:00.000000000
172,ADUS,26/03/2010,2011-03-21,2011,3,360,9999,5.8861041,3000000,1468328.0,2011-07-29,8-K,-130 days +00:00:00.000000000
173,ADUS,26/03/2010,2011-03-21,2011,3,360,9999,5.8861041,3000000,1468328.0,2011-07-20,8-K,-121 days +00:00:00.000000000
