rdate,cusip,stkname,tic,exchcd,stkcd,stkcdesc,prc,shrout,Top5InstOwn,Top10InstOwn,NumInstBlockOwners,InstBlockOwn,NumInstOwners,MaxInstOwn,InstOwn,InstOwn_HHI,InstOwn_Perc
3/31/2004,48203R10,JUNIPER NETWORKS INC,JNPR,V,0,COM,26.02,395436,134605641,171445085,2,98646848,296,69559603,295587194,0.076362319,0.747496925
3/31/2004,48248010,KLA-TENCOR CORP,KLAC,V,0,COM,50.28,196306,43777154,73797630,1,9877309,342,9877309,163976205,0.026898072,0.835309186
3/31/2004,48273810,KVH INDS INC,KVHI,V,0,COM,14.41,14397,4720343,7201916,4,4098792,68,1175039,10666880,0.056795075,0.740909912
3/31/2004,49690220,KINROSS GOLD CORP,KGC,A,0,COM,7.29,345806,62250657,79430253,1,28369460,108,28369460,111931850,0.099088166,0.323683944
3/31/2004,50069210,KOSS CORP,KOSS,V,0,COM,24.58,3768,342196,379479,0,,10,131500,379479,0.228026547,0.100710987
3/31/2004,50544710,LABRANCHE & CO INC,LAB,A,0,COM,11.21,59817,12216178,20365594,0,,117,2973950,39129222,0.03581463,0.654148854
3/31/2004,51841510,LATTICE SEMICONDUCTOR CORP,LSCC,V,0,COM,8.73,112772,51711291,64765823,3,43879800,150,19358470,100535474,0.077535436,0.891493225
3/31/2004,52186N10,LEAPFROG ENTERPRISES INC,LF,A,0,CMA,19.35,29920,10392202,14071386,1,5495962,134,5495962,26179281,0.06143458,0.874975969
3/31/2004,52729N10,LEVEL 3 COMMUNICATIONS INC,LVLT,V,0,COM,4,677858,274166326,307741539,2,227443537,183,154310217,399778626,0.190418305,0.589767512
3/31/2004,53983010,LOCKHEED MARTIN CORP,LMT,A,0,COM,45.64,447515,239621992,292997575,3,205639857,438,83887282,457725071,0.081827154,1.022815036
3/31/2004,55262C10,MBIA INC,MBI,A,0,COM,62.7,144381,45781546,63331182,2,28968295,410,20178860,133819348,0.040523075,0.926848741
3/31/2004,55918110,MAGMA DESIGN AUTOMATION,LAVA,V,0,COM,20.88,33391,11062477,17390862,4,9452277,121,3105202,33515143,0.035957601,1.003717858
3/31/2004,56377110,MANNATECH INC,MTEX,V,0,COM,10.58,26323,1244744,1691351,0,,35,328898,2152035,0.080986289,0.081754929
3/31/2004,57174810,MARSH & MCLENNAN COS INC,MMC,A,0,COM,46.3,524540,127235951,174399503,3,95827177,614,40393613,381228850,0.031700648,0.726786994
3/31/2004,57290110,MARTEK BIOSCIENCES CORP,MATK,V,0,COM,56.96,29213,5707682,9966051,0,,184,1312796,26724657,0.021326663,0.914820696
3/31/2004,57308310,MARTHA STEWART LIVING OMNIME,MSO,A,0,CMA,11,19732,6645072,7605231,2,5632584,60,4226010,8829638,0.262251533,0.447478107
3/31/2004,58155Q10,MCKESSON CORP,MCK,A,0,COM,30.09,291049,96608524,132112013,2,65279728,353,37585205,223681698,0.058053954,0.768536219
3/31/2004,58306210,MEADE INSTRUMENTS CORP,MEAD,V,0,COM,4.04,20000,7468775,8878102,4,6503575,44,3087783,10037992,0.147987828,0.5018996
3/31/2004,58469030,MEDICIS PHARMACEUTICAL CORP,MRX,A,0,CMA,40,54858,19119659,26071985,4,17548589,213,4767420,63280336,0.027744992,1.153529768
3/31/2004,58470H10,MEDIFAST INC,MED,F,0,COM,8.99,10483,853900,1084453,0,,18,410000,1173543,0.169813699,0.111947248
3/31/2004,58505510,MEDTRONIC INC,MDT,A,0,COM,47.75,1212202,165093506,272351610,0,,917,40404097,809993510,0.01641189,0.66820011
3/31/2004,58933110,MERCK & CO INC,MRK,A,0,COM,44.19,2224327,333686000,484739604,0,,1172,101320518,1249790216,0.022267961,0.561873419
3/31/2004,58998110,MERGE TECHNOLOGIES INC,MRGE,V,0,COM,14.57,12633,3194956,4374692,2,1782000,40,967600,5357296,0.093058965,0.424071559
3/31/2004,59509410,MICROMUSE INC,MUSE,V,0,COM,7.8,78543,28627310,37255380,3,22282252,120,13295870,69643748,0.057915511,0.886695797
3/31/2004,59935P20,MILESTONE SCIENTIFIC INC,MS,B,0,COM,2.38,9664,754234,754234,1,660252,4,660252,754234,0.774071945,0.078045737
3/31/2004,60855410,MOLEX INC,MOLX,V,0,COM,30.39,100424,20122134,27353577,1,5462230,286,5462230,56281889,0.034129069,0.560442613
3/31/2004,60855420,MOLEX INC,MOLX,V,0,CMA,26.05,89880,28885509,39002963,2,21623562,196,11701962,69801381,0.060355248,0.776606375
3/31/2004,62936P10,NPS PHARMACEUTICALS INC,NPSP,V,0,COM,28.52,37195,13429701,20576556,7,17276997,133,3685000,37673093,0.038944053,1.01285369
3/31/2004,63115810,NASH FINCH CO,NAFC,V,0,COM,23.77,12286,4153350,5357202,4,3868830,98,1326011,8679047,0.061966982,0.70641763
3/31/2004,64156L10,NEVSUN RES LTD,NSU,J,0,COM,4.03,73855,2411862,2426862,0,,7,1386000,2426862,0.383475182,0.03285982
3/31/2004,65163910,NEWMONT MINING CORP,NEM,A,0,COM,46.63,400564,93449074,142197212,2,54102806,458,27910000,273823594,0.036008931,0.683595116
3/31/2004,65171850,NEWPARK RES INC,NR,A,0,COM,5.2,83800,30562531,44694772,4,26715531,109,8410200,75447808,0.048158439,0.900331838
3/31/2004,65440K10,99 CENTS ONLY STORES,NDN,A,0,COM,24.42,72427,23023126,28971476,4,20925426,134,6834299,45786962,0.0664547,0.632180844
3/31/2004,66774610,NORTHWEST PIPE CO,NWPX,V,0,COM,14.5,6584,2937902,4470651,6,3315568,30,879065,5557627,0.08124512,0.844111027
3/31/2004,67000610,NOVELL INC,NOVL,V,0,COM,11.38,383849,85698377,124156292,1,31886541,288,31886541,250077736,0.037401995,0.651500293
3/31/2004,67087210,OM GROUP INC,OMG,A,0,COM,30.4,28355,8318509,11943450,2,4461015,146,2976500,23095325,0.040147895,0.81450626
3/31/2004,68212810,OMNIVISION TECHNOLOGIES INC,OVTI,V,0,COM,27.31,55622,13395845,19359052,1,7536752,202,7536752,47119128,0.038053045,0.847131135
3/31/2004,69341920,PMA CAP CORP,PMAC,V,0,CMA,6.07,31334,7377470,10179816,2,4409692,72,2622182,16126506,0.062246565,0.514664773
3/31/2004,69357C10,PRG-SCHULTZ INTERNATIONAL IN,PRGX,V,0,COM,4.37,61763,21081506,29415700,2,12787073,96,9287073,45380906,0.070562845,0.734758771
