BEST_EDGAR_TICKER,AUDITOR_FKEY,AUDITOR_NAME,SIG_DATE_OF_OP_X,GOING_CONCERN,FISCAL_YEAR_OF_OP,FISCAL_YEAR_END_OP,OP_AUD_PCAOB,FTP_FILE_FKEY,FILE_DATE,FILE_SIZE
MS,3,Deloitte & Touche LLP,20050207,0,2004,30NOV2004,1,edgar/data/895421/0001193125-05-025463.txt,2005-02-11,3 MB
MS,3,Deloitte & Touche LLP,20040223,0,2003,30NOV2003,1,edgar/data/895421/0001193125-04-029127.txt,2004-02-25,3 MB
MS,3,Deloitte & Touche LLP,20030110,0,2002,30NOV2002,1,edgar/data/895421/0000950130-03-001275.txt,2003-02-19,5 MB
MS,3,Deloitte & Touche LLP,20020111,0,2001,30NOV2001,1,edgar/data/895421/0000950130-02-000910.txt,2002-02-14,3 MB
MS,3,Deloitte & Touche LLP,20010112,0,2000,30NOV2000,1,edgar/data/895421/0000950130-01-500161.txt,2001-02-16,1 MB
MSO,2,Ernst & Young LLP,20150306,0,2014,31DEC2014,1,edgar/data/1091801/0001091801-15-000002.txt,2015-03-06,13 MB
MSO,2,Ernst & Young LLP,20140225,0,2013,31DEC2013,1,edgar/data/1091801/0001091801-14-000002.txt,2014-02-26,12 MB
MSO,2,Ernst & Young LLP,20130301,0,2012,31DEC2012,1,edgar/data/1091801/0001091801-13-000005.txt,2013-03-01,12 MB
MSO,2,Ernst & Young LLP,20120306,0,2011,31DEC2011,1,edgar/data/1091801/0001193125-12-099355.txt,2012-03-06,5 MB
MSO,2,Ernst & Young LLP,20110314,0,2010,31DEC2010,1,edgar/data/1091801/0001193125-11-066242.txt,2011-03-15,1 MB
MSO,2,Ernst & Young LLP,20100305,0,2009,31DEC2009,1,edgar/data/1091801/0000950123-10-021764.txt,2010-03-08,1 MB
MSO,2,Ernst & Young LLP,20090316,0,2008,31DEC2008,1,edgar/data/1091801/0000950123-09-004763.txt,2009-03-16,1 MB
MSO,2,Ernst & Young LLP,20080317,0,2007,31DEC2007,1,edgar/data/1091801/0000950123-08-003028.txt,2008-03-17,1 MB
MSO,2,Ernst & Young LLP,20070309,0,2006,31DEC2006,1,edgar/data/1091801/0000950123-07-003756.txt,2007-03-14,793 KB
MSO,2,Ernst & Young LLP,20060303,0,2005,31DEC2005,1,edgar/data/1091801/0000950123-06-002702.txt,2006-03-07,715 KB
MSO,2,Ernst & Young LLP,20050315,0,2004,31DEC2004,1,edgar/data/1091801/0000950123-05-003245.txt,2005-03-16,245 KB
MSO,2,Ernst & Young LLP,20040206,0,2003,31DEC2003,1,edgar/data/1091801/0000950123-04-003328.txt,2004-03-15,604 KB
MSO,2,Ernst & Young LLP,20030328,0,2002,31DEC2002,1,edgar/data/1091801/0000950123-03-003695.txt,2003-03-31,775 KB
MSO,5,Arthur Andersen LLP,20020207,0,2001,31DEC2001,0,edgar/data/1091801/0000950123-02-003033.txt,2002-03-27,568 KB
MSO,5,Arthur Andersen LLP,20010202,0,2000,31DEC2000,0,edgar/data/1091801/0000950123-01-500412.txt,2001-03-30,181 KB
MSO,5,Arthur Andersen LLP,20000209,0,1999,31DEC1999,0,edgar/data/1091801/0000950123-00-003056.txt,2000-03-30,1 MB
MTEX,11761,BDO USA LLP,20150310,0,2014,31DEC2014,1,edgar/data/1056358/0001140361-15-011119.txt,2015-03-10,12 MB
MTEX,11761,BDO USA LLP,20140318,0,2013,31DEC2013,1,edgar/data/1056358/0001140361-14-013302.txt,2014-03-18,11 MB
MTEX,11761,BDO USA LLP,20130327,0,2012,31DEC2012,1,edgar/data/1056358/0001140361-13-014220.txt,2013-03-28,11 MB
MTEX,11761,BDO USA LLP,20120329,0,2011,31DEC2011,1,edgar/data/1056358/0001056358-12-000015.txt,2012-03-29,7 MB
MTEX,11761,BDO USA LLP,20110310,0,2010,31DEC2010,1,edgar/data/1056358/0001056358-11-000007.txt,2011-03-10,8 MB
MTEX,7,BDO Seidman LLP,20100311,0,2009,31DEC2009,1,edgar/data/1056358/0001056358-10-000020.txt,2010-03-11,7 MB
MTEX,7,BDO Seidman LLP,20090311,0,2008,31DEC2008,1,edgar/data/1056358/0001056358-09-000023.txt,2009-03-12,5 MB
MTEX,7,BDO Seidman LLP,20080314,0,2007,31DEC2007,1,edgar/data/1056358/0001193125-08-058789.txt,2008-03-17,1 MB
