Model,ticker,evtdate,DATE,evttime,ret,abret
Fama-French Plus Momentum,CLZR,16JAN2009,15JAN2009,-1,-0.057047639,-0.011517126
Fama-French Plus Momentum,CLZR,16JAN2009,16JAN2009,0,-0.145530134,-0.141957513
Fama-French Plus Momentum,CLZR,16JAN2009,20JAN2009,1,-0.051094957,-0.029392547
Fama-French Plus Momentum,CLZR,16JAN2009,21JAN2009,2,0.1025641635,0.0573645417
Fama-French Plus Momentum,CLZR,16JAN2009,22JAN2009,3,-0.02325586,-0.065918499
Fama-French Plus Momentum,CLZR,16JAN2009,23JAN2009,4,0,-0.002606029
Fama-French Plus Momentum,CLZR,16JAN2009,26JAN2009,5,0.0476190746,0.0427706152
Fama-French Plus Momentum,CLZR,16JAN2009,27JAN2009,6,0.0227272511,0.01266984
Fama-French Plus Momentum,CLZR,16JAN2009,28JAN2009,7,0.1111111417,0.0792300036
Fama-French Plus Momentum,CLZR,16JAN2009,29JAN2009,8,0.1399999857,0.1318166006
Fama-French Plus Momentum,FBP,24JUL2007,13JUL2007,-7,-0.009380809,-0.008721793
Fama-French Plus Momentum,FBP,24JUL2007,16JUL2007,-6,0.0018938923,0.0109208053
Fama-French Plus Momentum,FBP,24JUL2007,17JUL2007,-5,0.0037807147,0.011621874
Fama-French Plus Momentum,FBP,24JUL2007,18JUL2007,-4,-0.003766475,0.0025656074
Fama-French Plus Momentum,FBP,24JUL2007,19JUL2007,-3,-0.007561429,-0.000324956
Fama-French Plus Momentum,FBP,24JUL2007,20JUL2007,-2,-0.01142856,0.0064261949
Fama-French Plus Momentum,FBP,24JUL2007,23JUL2007,-1,-0.010597269,-0.003414819
Fama-French Plus Momentum,FBP,24JUL2007,24JUL2007,0,-0.036027346,-0.011874066
Fama-French Plus Momentum,FBP,24JUL2007,25JUL2007,1,-0.013131229,-0.022301492
Fama-French Plus Momentum,FBP,24JUL2007,26JUL2007,2,-0.034800425,-0.002948507
Fama-French Plus Momentum,FBP,24JUL2007,27JUL2007,3,-0.01696711,0.0006088253
Fama-French Plus Momentum,FBP,24JUL2007,30JUL2007,4,0.0021574437,0.0016933267
Fama-French Plus Momentum,FBP,24JUL2007,31JUL2007,5,-0.009687853,0.0118113781
Fama-French Plus Momentum,FBP,24JUL2007,01AUG2007,6,-0.02173911,-0.026670772
Fama-French Plus Momentum,FBP,24JUL2007,02AUG2007,7,0.0133333206,0.0216889022
Fama-French Plus Momentum,FBP,24JUL2007,03AUG2007,8,-0.054824561,-0.016104039
Fama-French Plus Momentum,AIM,09AUG2005,29JUL2005,-7,0.2710566521,0.2813422852
Fama-French Plus Momentum,AIM,09AUG2005,01AUG2005,-6,-0.021807199,-0.022571141
Fama-French Plus Momentum,AIM,09AUG2005,02AUG2005,-5,-0.01465703,-0.007052983
Fama-French Plus Momentum,AIM,09AUG2005,03AUG2005,-4,0.0187499523,0.0212547095
Fama-French Plus Momentum,AIM,09AUG2005,04AUG2005,-3,-0.109202385,-0.092296021
Fama-French Plus Momentum,AIM,09AUG2005,05AUG2005,-2,0.0123966495,0.0151454159
Fama-French Plus Momentum,AIM,09AUG2005,08AUG2005,-1,-0.047619034,-0.036637167
Fama-French Plus Momentum,AIM,09AUG2005,09AUG2005,0,0.0214285851,0.0208489473
Fama-French Plus Momentum,AIM,09AUG2005,10AUG2005,1,0.0475524031,0.0647108543
Fama-French Plus Momentum,AIM,09AUG2005,11AUG2005,2,-0.012015979,-0.015268496
Fama-French Plus Momentum,AIM,09AUG2005,12AUG2005,3,-0.0054054,0.0053997083
Fama-French Plus Momentum,AIM,09AUG2005,15AUG2005,4,0.012228217,0.0079918933
Fama-French Plus Momentum,AIM,09AUG2005,16AUG2005,5,0.0134228701,0.0245756699
Fama-French Plus Momentum,AIM,09AUG2005,17AUG2005,6,0,-0.010007711
Fama-French Plus Momentum,AIM,09AUG2005,18AUG2005,7,0.0172184948,0.0234637793
Fama-French Plus Momentum,AIM,09AUG2005,19AUG2005,8,-0.023437478,-0.012663797
Fama-French Plus Momentum,KO,03JUL2008,24JUN2008,-7,0.0020653515,-0.019504318
