Model,ticker,evtdate,cret,car,bhar,nrets
Fama-French Plus Momentum,IBIS,25JAN2007,-0.047297333,0.2776037109,0.2282756191,15
Fama-French Plus Momentum,JOSB,09FEB2010,0.0560570254,0.0105899522,0.0092948994,15
Fama-French Plus Momentum,NPSP,26FEB2009,-0.427444789,-0.276827942,-0.195338432,15
Fama-French Plus Momentum,PSSI,19OCT2005,0.0635294418,0.0991173986,0.0974944544,15
Fama-French Plus Momentum,MCK,11FEB2005,0.0405292015,0.0492926721,0.0495141582,15
Fama-French Plus Momentum,UHAL,24JUL2006,-0.119802448,-0.200790608,-0.196021072,15
Fama-French Plus Momentum,VECO,16AUG2007,0.0294117639,0.045384838,0.0476829654,15
Fama-French Plus Momentum,SWC,02MAY2007,-0.108843498,-0.098841315,-0.100610794,15
Fama-French Plus Momentum,RCII,30OCT2007,-0.095833316,0.0467063306,0.0401516942,15
Fama-French Plus Momentum,BRKS,24JUN2008,-0.150423645,0.1179026189,0.0940836718,15
Fama-French Plus Momentum,HLIT,07FEB2007,-0.007891734,-0.123746333,-0.131139098,15
Fama-French Plus Momentum,ADEX,10JUL2006,-0.009885687,-0.04224923,-0.041055635,15
Fama-French Plus Momentum,ESST,30APR2007,-0.079136702,0.0394172785,0.031089952,15
Fama-French Plus Momentum,NWPX,24SEP2012,-0.062953062,-0.034044094,-0.034881105,15
Fama-French Plus Momentum,HIG,28AUG2009,0.1941224386,-0.009247489,-0.01800014,15
Fama-French Plus Momentum,STKR,21AUG2007,0.0666666069,-0.078651942,-0.09215246,15
Fama-French Plus Momentum,ARTC,09FEB2012,-0.201420266,-0.228104931,-0.227227463,15
Fama-French Plus Momentum,PRGX,08FEB2005,-0.11731846,-0.033051806,-0.032968617,15
Fama-French Plus Momentum,KVHI,27JUL2007,-0.047866812,-0.016250535,-0.01795317,15
Fama-French Plus Momentum,NDN,20SEP2006,0.0413732627,-0.003699866,-0.009278901,15
Fama-French Plus Momentum,JAKK,17NOV2009,0.0399659289,0.0264570375,0.025445733,15
Fama-French Plus Momentum,SRZ,27FEB2009,-0.523809513,-0.125950838,-0.162848045,15
Fama-French Plus Momentum,ZOMX,25APR2005,-0.103585656,0.1300659187,0.1035460051,15
Fama-French Plus Momentum,ADRX,10JUN2005,0.0075187777,0.049928315,0.0478743787,15
Fama-French Plus Momentum,RNR,13APR2007,0.0758963655,0.0673070973,0.0695384992,15
Fama-French Plus Momentum,HEB,09NOV2010,-0.00502321,0.0052618381,0.004439296,15
Fama-French Plus Momentum,ANF,03NOV2006,-0.017820506,-0.088202121,-0.092050174,15
Fama-French Plus Momentum,ANF,22JUN2010,-0.111884233,0.0135882635,0.0104988606,15
Fama-French Plus Momentum,CRN,26AUG2005,0.0149785368,0.0240344377,0.0234909635,15
Fama-French Plus Momentum,CERS,08SEP2006,-0.035353546,0.0524739167,0.0466831129,15
Fama-French Plus Momentum,CTIC,14FEB2012,0.2190476466,0.2336334602,0.2289883096,15
Fama-French Plus Momentum,CBI,22JAN2008,-0.17945406,-0.121133671,-0.118081183,15
Fama-French Plus Momentum,MEAD,15OCT2007,-0.293532354,-0.290419184,-0.25519704,15
Fama-French Plus Momentum,AMZN,10MAR2005,-0.042922175,0.0618596581,0.0576264573,15
Fama-French Plus Momentum,RMBS,04MAR2008,0.0273895878,0.0244324796,0.0236434188,15
Fama-French Plus Momentum,SRT,03SEP2009,-0.066666711,-0.088688491,-0.103845257,15
Fama-French Plus Momentum,FARO,02JUN2008,-0.044195025,-0.136367547,-0.141757869,15
Fama-French Plus Momentum,PLCE,17JUL2009,0.1721959154,0.2080649394,0.214303158,15
Fama-French Plus Momentum,PSMT,17MAY2005,0.0422322363,0.1147636851,0.1098524564,15
Fama-French Plus Momentum,AMCC,17MAR2005,-0.153846201,-0.10055986,-0.09117799,15
Fama-French Plus Momentum,URI,28JAN2009,-0.104704098,-0.046101948,-0.030804759,15
Fama-French Plus Momentum,CVTX,08DEC2006,0.1544992088,0.1703423826,0.1762945878,15
Fama-French Plus Momentum,CECO,04NOV2013,0.2704917823,0.3244372056,0.2044728127,15
Fama-French Plus Momentum,CECO,05NOV2007,-0.053821034,-0.091087769,-0.09503373,15
Fama-French Plus Momentum,RAS,15JUL2009,-0.05785128,-0.142401502,-0.158595193,15
